121,100,11,11,11,11,40
13,2,1,12
14,3,2,13
15,4,3,14
16,5,4,15
17,6,5,16
18,7,6,17
19,8,7,18
20,9,8,19
21,10,9,20
22,11,10,21
24,13,12,23
25,14,13,24
26,15,14,25
27,16,15,26
28,17,16,27
29,18,17,28
30,19,18,29
31,20,19,30
32,21,20,31
33,22,21,32
35,24,23,34
36,25,24,35
37,26,25,36
38,27,26,37
39,28,27,38
40,29,28,39
41,30,29,40
42,31,30,41
43,32,31,42
44,33,32,43
46,35,34,45
47,36,35,46
48,37,36,47
49,38,37,48
50,39,38,49
51,40,39,50
52,41,40,51
53,42,41,52
54,43,42,53
55,44,43,54
57,46,45,56
58,47,46,57
59,48,47,58
60,49,48,59
61,50,49,60
62,51,50,61
63,52,51,62
64,53,52,63
65,54,53,64
66,55,54,65
68,57,56,67
69,58,57,68
70,59,58,69
71,60,59,70
72,61,60,71
73,62,61,72
74,63,62,73
75,64,63,74
76,65,64,75
77,66,65,76
79,68,67,78
80,69,68,79
81,70,69,80
82,71,70,81
83,72,71,82
84,73,72,83
85,74,73,84
86,75,74,85
87,76,75,86
88,77,76,87
90,79,78,89
91,80,79,90
92,81,80,91
93,82,81,92
94,83,82,93
95,84,83,94
96,85,84,95
97,86,85,96
98,87,86,97
99,88,87,98
101,90,89,100
102,91,90,101
103,92,91,102
104,93,92,103
105,94,93,104
106,95,94,105
107,96,95,106
108,97,96,107
109,98,97,108
110,99,98,109
112,101,100,111
113,102,101,112
114,103,102,113
115,104,103,114
116,105,104,115
117,106,105,116
118,107,106,117
119,108,107,118
120,109,108,119
121,110,109,120
0,0
0.0,0.0005
0.0,0.001
0.0,0.0015
0.0,0.002
0.0,0.0025
0.0,0.003
0.0,0.0035
0.0,0.004
0.0,0.0045
0,0.005
0.0005,0.0
0.0005,0.0005
0.0005,0.001
0.0005,0.0015
0.0005,0.002
0.0005,0.0025
0.0005,0.003
0.0005,0.0035
0.0005,0.004
0.0005,0.0045
0.0005,0.005
0.001,0.0
0.001,0.0005
0.001,0.001
0.001,0.0015
0.001,0.002
0.001,0.0025
0.001,0.003
0.001,0.0035
0.001,0.004
0.001,0.0045
0.001,0.005
0.0015,0.0
0.0015,0.0005
0.0015,0.001
0.0015,0.0015
0.0015,0.002
0.0015,0.0025
0.0015,0.003
0.0015,0.0035
0.0015,0.004
0.0015,0.0045
0.0015,0.005
0.002,0.0
0.002,0.0005
0.002,0.001
0.002,0.0015
0.002,0.002
0.002,0.0025
0.002,0.003
0.002,0.0035
0.002,0.004
0.002,0.0045
0.002,0.005
0.0025,0.0
0.0025,0.0005
0.0025,0.001
0.0025,0.0015
0.0025,0.002
0.0025,0.0025
0.0025,0.003
0.0025,0.0035
0.0025,0.004
0.0025,0.0045
0.0025,0.005
0.003,0.0
0.003,0.0005
0.003,0.001
0.003,0.0015
0.003,0.002
0.003,0.0025
0.003,0.003
0.003,0.0035
0.003,0.004
0.003,0.0045
0.003,0.005
0.0035,0.0
0.0035,0.0005
0.0035,0.001
0.0035,0.0015
0.0035,0.002
0.0035,0.0025
0.0035,0.003
0.0035,0.0035
0.0035,0.004
0.0035,0.0045
0.0035,0.005
0.004,0.0
0.004,0.0005
0.004,0.001
0.004,0.0015
0.004,0.002
0.004,0.0025
0.004,0.003
0.004,0.0035
0.004,0.004
0.004,0.0045
0.004,0.005
0.0045,0.0
0.0045,0.0005
0.0045,0.001
0.0045,0.0015
0.0045,0.002
0.0045,0.0025
0.0045,0.003
0.0045,0.0035
0.0045,0.004
0.0045,0.0045
0.0045,0.005
0.005,0
0.005,0.0005
0.005,0.001
0.005,0.0015
0.005,0.002
0.005,0.0025
0.005,0.003
0.005,0.0035
0.005,0.004
0.005,0.0045
0.005,0.005
